,UID,SUMLEVEL,COUNTYID,STATEID,state,state_ab,city,place,type,primary,zip_code,area_code,lat,lng,ALand,AWater,pop,male_pop,female_pop,rent_mean,rent_median,rent_stdev,rent_sample_weight,rent_samples,rent_gt_10,rent_gt_15,rent_gt_20,rent_gt_25,rent_gt_30,rent_gt_35,rent_gt_40,rent_gt_50,universe_samples,used_samples,hi_mean,hi_median,hi_stdev,hi_sample_weight,hi_samples,family_mean,family_median,family_stdev,family_sample_weight,family_samples,hc_mortgage_mean,hc_mortgage_median,hc_mortgage_stdev,hc_mortgage_sample_weight,hc_mortgage_samples,hc_mean,hc_median,hc_stdev,hc_samples,hc_sample_weight,home_equity_second_mortgage,second_mortgage,home_equity,debt,second_mortgage_cdf,home_equity_cdf,debt_cdf,hs_degree,hs_degree_male,hs_degree_female,male_age_mean,male_age_median,male_age_stdev,male_age_sample_weight,male_age_samples,female_age_mean,female_age_median,female_age_stdev,female_age_sample_weight,female_age_samples,pct_own,married,married_snp,separated,divorced,data_type
18728,221912,140,51,5,Arkansas,AR,Hot Springs,Piney,City,tract,71913,501,34.4963734,-93.1036323,13696138.0,767126,3163,1518,1645,871.95892,684.0,627.40221,590.35851,794.0,1.0,0.95796,0.90064,0.8051,0.74268,0.61019,0.53758,0.41656,843,785,35789.96701,27846.0,34441.38929,1374.35645,1676.0,49095.64682,35248.0,41427.53003,555.11637,748.0,998.59071,779.0,725.53011,401.00657,494.0,351.73879,302.0,185.56218,339.0,285.42505,0.0,0.0,0.01801,0.59304,1.0,0.8077,0.61401,0.82433,0.80103,0.84454,43.83342,44.25,22.17094,360.89423,1518.0,49.33037,53.25,23.70087,355.49115,1645.0,0.47613,0.36555,0.04142,0.03634,0.32267,Train
16339,266400,140,7,36,New York,NY,Endicott,Endicott,City,tract,13760,607,42.0882266,-76.0798671,3444143.0,431744,3257,1591,1666,770.22605,749.0,249.40699,710.13031,892.0,0.97646,0.91143,0.8139,0.76233,0.60987,0.50448,0.50448,0.40695,918,892,47611.43702,33077.0,42622.29879,1058.11727,1487.0,66248.7067,59047.0,46489.39709,439.97915,778.0,1130.66394,1112.0,326.73722,203.49806,337.0,460.5453,442.0,175.40052,232.0,157.75758,0.0,0.0,0.08084,0.59227,1.0,0.5302,0.61571,0.92757,0.92606,0.92898,38.68817,33.33333,22.51221,381.61406,1591.0,46.23286,46.83333,25.85043,369.07378,1666.0,0.47699,0.37716,0.0308,0.0,0.12322,Train
16342,269340,140,81,36,New York,NY,Jamaica,Bellerose Terrace,City,tract,11434,718,40.6961991,-73.7786464,205352.0,0,1708,776,932,1733.71752,1712.0,464.16975,8.55097,67.0,1.0,1.0,0.90323,0.90323,0.90323,0.80645,0.80645,0.53226,87,62,94661.55384,90988.0,62408.41943,222.40097,482.0,109158.8312,112872.0,52322.25155,118.58989,356.0,2696.29696,2744.0,884.83908,70.19434,322.0,648.23455,643.0,242.01093,73.0,43.70707,0.0,0.0,0.05063,0.81519,1.0,0.67209,0.13272,0.87119,0.83104,0.90164,36.59034,34.83333,22.35045,178.41312,776.0,40.75751,37.58333,22.92383,223.06362,932.0,0.91159,0.47798,0.10277,0.03426,0.06199,Train
16344,258015,140,161,29,Missouri,MO,Newburg,Newburg City,City,tract,65550,573,37.9056708,-91.8410968,113732669.0,774957,3361,1525,1836,761.74996,710.0,219.54458,186.6332,245.0,0.95918,0.8,0.76327,0.73878,0.6449,0.29388,0.2449,0.2,264,245,53462.76801,48352.0,41995.47935,768.41519,1192.0,60909.45189,55965.0,41581.89478,445.17576,790.0,1222.61177,1074.0,725.27746,337.02299,543.0,345.63141,295.0,159.20314,385.0,338.53535,0.0,0.0,0.00754,0.58513,1.0,0.83113,0.63053,0.86313,0.88032,0.84574,41.93768,44.25,21.5176,381.17101,1525.0,35.93486,34.5,24.01677,438.61809,1836.0,0.7438,0.53481,0.01407,0.0,0.11185,Train
16356,266395,140,7,36,New York,NY,Endicott,Endicott,City,tract,13760,607,42.1379587,-76.0770303,21593835.0,97359,2653,1385,1268,735.45619,728.0,176.42675,104.49836,139.0,0.90647,0.52518,0.52518,0.33094,0.11511,0.11511,0.11511,0.05036,149,139,79806.55745,70092.0,52069.42511,529.72433,1042.0,87452.63096,80863.0,48923.98651,331.7807,770.0,1240.38305,1174.0,497.69051,246.57298,439.0,529.56043,479.0,282.6455,454.0,300.25199,0.0,0.0,0.06719,0.4916,1.0,0.59464,0.79112,0.99012,0.99073,0.9895,41.67931,42.16667,23.42287,332.19728,1385.0,44.69822,48.0,22.73066,277.06428,1268.0,0.88353,0.57679,0.00785,0.00785,0.10646,Train
16372,287031,140,395,48,Texas,TX,Bremond,Bremond City,Town,tract,76629,254,31.1218156,-96.6522896,368403185.0,5864941,1801,901,900,568.66833,485.0,371.39821,135.57287,155.0,0.83448,0.75862,0.6,0.56552,0.49655,0.48276,0.29655,0.22759,227,145,55665.74352,49695.0,44993.57436,426.76959,719.0,69222.41243,67460.0,44046.44934,231.82076,455.0,1020.32713,957.0,382.04434,118.6627,159.0,374.85486,347.0,194.24728,333.0,263.25848,0.0,0.0,0.0,0.32317,1.0,1.0,0.93901,0.79518,0.78414,0.8068,45.99502,45.75,24.0969,227.04215,901.0,44.45653,47.75,24.44658,223.95718,900.0,0.6718,0.50446,0.05096,0.0,0.12357,Train
16375,266670,140,29,36,New York,NY,Buffalo,Lackawanna City,City,tract,14220,716,42.8377227,-78.8184466,1163904.0,0,4510,2082,2428,785.86956,738.0,226.56155,377.80504,472.0,0.93939,0.84632,0.51732,0.48701,0.30087,0.30087,0.22727,0.15801,520,462,56797.39344,47695.0,45822.07332,1251.23576,2023.0,74215.533,68373.0,47721.81372,568.96188,1190.0,929.74814,843.0,347.36711,791.66514,985.0,493.63361,473.0,206.28997,518.0,351.83838,0.0,0.0,0.11776,0.65536,1.0,0.36349,0.47526,0.87985,0.86974,0.88851,38.98169,39.16667,21.17169,472.62642,2082.0,39.91516,38.75,23.28151,563.43066,2428.0,0.75934,0.5492,0.02652,0.02652,0.09487,Train
16394,239747,140,121,13,Georgia,GA,College Park,Riverdale City,City,tract,30349,770,33.5747658,-84.4766503,8397227.0,15655,8933,3995,4938,1259.50149,1245.0,298.62793,190.8421,792.0,1.0,1.0,0.87183,0.66622,0.59413,0.51268,0.47797,0.30441,792,749,55835.46053,51247.0,45498.60803,1617.94313,2658.0,58120.30492,51209.0,47032.10763,1104.44096,1849.0,1090.77272,1004.0,300.17491,1130.97854,1564.0,393.13246,355.0,113.31369,302.0,247.45455,0.0,0.0,0.05681,0.83816,1.0,0.64345,0.10057,0.93129,0.89688,0.9556,33.67541,32.0,19.95431,1071.52131,3995.0,35.77438,34.5,20.61923,1205.76604,4938.0,0.62226,0.43969,0.15102,0.04176,0.13699,Train
16401,243323,140,31,17,Illinois,IL,Worth,Worth,Village,tract,60482,708,41.6857372,-87.7792908,3646334.0,32714,3439,1760,1679,966.53387,904.0,188.75996,158.41098,339.0,1.0,0.83481,0.67257,0.58112,0.45428,0.45428,0.45428,0.34808,339,339,71340.36024,62675.0,51250.16257,660.63798,1236.0,79389.27089,70298.0,47803.83334,393.07693,845.0,1702.73653,1555.0,626.58809,179.60497,547.0,653.81431,597.0,282.22991,350.0,189.84949,0.0,0.0,0.0524,0.60981,1.0,0.66414,0.57848,0.87212,0.86649,0.87762,37.84961,36.25,22.57727,457.49412,1760.0,39.0675,36.83333,21.82041,395.84214,1679.0,0.73381,0.44857,0.0112,0.0,0.04899,Train
16413,285812,140,201,48,Texas,TX,Houston,Hilshire Village City,Town,tract,77092,713,29.8447655,-95.4793216,1886273.0,8667,6845,3498,3347,646.93549,625.0,198.54397,1647.86431,1803.0,0.97449,0.84526,0.74487,0.62562,0.49917,0.44093,0.30172,0.17138,1819,1803,42097.3815,29722.0,38553.98895,1968.48125,2500.0,48808.49607,37630.0,39777.2269,977.79866,1422.0,1186.19333,1135.0,482.06248,171.84605,294.0,465.00776,431.0,167.48735,387.0,276.89899,0.0,0.0,0.01028,0.43172,1.0,0.82643,0.86189,0.61975,0.59284,0.64866,35.06445,36.08333,20.60986,897.4243,3498.0,36.08493,34.66667,24.86169,759.56887,3347.0,0.2637,0.51057,0.19726,0.10419,0.066,Train
16424,291069,140,17,53,Washington,WA,East Wenatchee,East Wenatchee City,Town,tract,98802,509,47.4186507,-120.2908202,2349224.0,390932,3045,1272,1773,866.41921,843.0,268.50613,420.12727,661.0,0.99063,0.82813,0.7375,0.65,0.52813,0.47656,0.36406,0.27812,661,640,53992.48589,47459.0,39141.67867,826.69347,1298.0,65034.35552,57116.0,40617.32422,425.41501,740.0,1303.63134,1339.0,573.8003,195.93133,414.0,515.57682,509.0,199.81133,223.0,137.14141,0.0,0.0,0.09576,0.64992,1.0,0.46045,0.48823,0.80599,0.77741,0.82877,40.1375,36.91667,23.73129,282.84858,1272.0,40.2318,33.75,25.46066,463.80653,1773.0,0.49242,0.56849,0.02838,0.0,0.14188,Train
16427,271793,140,49,39,Ohio,OH,Columbus,Grandview Heights City,Village,tract,43210,614,40.0086327,-83.0325041,6038488.0,240301,3163,1658,1505,845.33268,741.0,407.5673,420.53555,588.0,0.96828,0.95896,0.875,0.83022,0.76679,0.68097,0.60075,0.50746,602,536,34183.35805,20176.0,39599.38154,559.98143,730.0,54458.43311,35330.0,51964.61525,143.12206,254.0,1402.47043,1396.0,383.03956,35.64507,86.0,522.59197,499.0,110.02844,42.0,22.80808,0.0,0.0,0.07813,0.67188,1.0,0.54295,0.43558,0.94539,0.96643,0.92383,23.39893,19.91667,11.50651,772.78727,1658.0,24.17323,19.75,12.36686,681.57839,1505.0,0.18034,0.15755,0.02018,0.00326,0.01823,Train
16435,269659,140,81,36,New York,NY,Flushing,Harbor Hills,City,tract,11355,718,40.7638178,-73.8192084,251471.0,0,9062,4421,4641,1376.69896,1360.0,539.25639,660.21224,2361.0,0.97916,0.92106,0.80266,0.68869,0.61596,0.5765,0.51574,0.4,2452,2255,58591.09703,37347.0,56323.28762,1798.69585,2769.0,48904.24146,35812.0,40143.40006,1344.82286,1940.0,2209.32033,1937.0,1318.19759,59.54157,156.0,796.04724,814.0,277.15608,161.0,93.32323,0.0,0.0,0.04101,0.49211,1.0,0.71617,0.79042,0.66825,0.74978,0.59497,44.17199,44.5,20.12805,1176.73016,4421.0,47.54104,48.91667,21.43916,1101.37789,4641.0,0.1285,0.48431,0.12696,0.02819,0.10637,Train
16440,249405,140,71,22,Louisiana,LA,New Orleans,Bridge City,City,tract,70118,504,29.9480967,-90.1243733,522804.0,0,2171,881,1290,1174.93471,1101.0,400.15534,200.09936,571.0,1.0,0.86245,0.72677,0.64312,0.5,0.43123,0.36059,0.2974,571,538,73565.40699,57335.0,65475.38038,553.23009,1017.0,110691.6981,95996.0,63278.88978,146.98888,440.0,2004.93913,2090.0,848.83827,111.1927,304.0,794.19123,838.0,378.25999,142.0,72.96757,0.0,0.0,0.06054,0.68161,1.0,0.62615,0.41241,0.92613,0.96235,0.90074,41.30854,39.08333,18.1965,250.12502,881.0,40.09771,36.08333,21.08587,333.97476,1290.0,0.47167,0.42874,0.02494,0.02494,0.07363,Train
16444,268640,140,63,36,New York,NY,Lockport,Rapids,City,tract,14094,716,43.1138606,-78.666029,24021866.0,0,5676,2787,2889,684.47852,593.0,367.20139,574.79193,671.0,0.92056,0.92056,0.75234,0.7352,0.5405,0.45794,0.36449,0.11371,718,642,78564.66628,65151.0,60772.69218,1170.06349,2201.0,90890.25848,84072.0,54718.44418,688.3967,1546.0,1752.81396,1726.0,486.10619,294.1815,1045.0,732.9888,634.0,261.65154,438.0,211.95003,0.0,0.0,0.17532,0.70465,1.0,0.17022,0.35696,0.93456,0.95257,0.91863,36.201,36.66667,22.2359,692.52763,2787.0,37.54889,34.41667,21.91562,679.20238,2889.0,0.77208,0.5931,0.02363,0.0,0.09074,Train
16447,251587,140,5,24,Maryland,MD,Baltimore,Parkville,CDP,tract,21234,410,39.3784901,-76.5637188,889528.0,0,3521,1573,1948,1144.21461,1128.0,346.06369,121.42893,384.0,1.0,0.98177,0.90885,0.89583,0.79688,0.75521,0.60677,0.3776,401,384,55930.39593,42935.0,45916.70195,749.43651,1134.0,65445.90894,53952.0,49482.02072,440.01101,769.0,1214.09295,1144.0,401.27693,353.9175,603.0,383.08775,366.0,161.88349,130.0,103.23232,0.0,0.0,0.14325,0.82265,1.0,0.26608,0.12175,0.78487,0.78352,0.786,35.72938,32.75,21.38228,373.08759,1573.0,37.73353,37.25,24.22921,492.68694,1948.0,0.6257,0.415,0.11971,0.05666,0.05507,Train
16449,267892,140,55,36,New York,NY,Rochester,Gates,City,tract,14611,585,43.1505481,-77.6617317,2540286.0,11526,1603,744,859,884.9826,881.0,289.36347,169.06129,271.0,1.0,1.0,0.96016,0.93625,0.75697,0.61753,0.50598,0.38247,285,251,38185.42293,28396.0,33622.55412,481.33444,599.0,41292.40874,27887.0,39045.56147,250.42558,336.0,1001.13139,770.0,808.87179,126.99141,161.0,477.90535,349.0,276.04244,153.0,114.61616,0.0,0.0,0.03822,0.51274,1.0,0.72869,0.76023,0.7441,0.77581,0.72299,30.16366,22.33333,21.69272,228.24448,744.0,35.33787,34.83333,22.40966,215.95133,859.0,0.41533,0.27344,0.07422,0.05078,0.11719,Train
16460,240357,140,235,13,Georgia,GA,Hawkinsville,Pineview,City,tract,31036,478,32.1846029,-83.5148665,258375255.0,1229278,1454,717,737,874.16823,916.0,198.58,35.77972,56.0,1.0,0.76786,0.67857,0.39286,0.39286,0.39286,0.39286,0.21429,128,56,55254.69296,45752.0,46493.13865,386.74201,612.0,69843.56011,66168.0,45373.7559,220.857,413.0,1100.45844,1006.0,502.70802,136.97759,203.0,353.42828,304.0,164.77317,281.0,232.0101,0.0,0.0,0.01446,0.41942,1.0,0.81725,0.87373,0.74893,0.79203,0.70678,47.27861,49.58333,22.03959,168.56175,717.0,48.13414,53.58333,22.40693,185.02676,737.0,0.82325,0.58319,0.03529,0.03529,0.16303,Train
