,UID,COUNTYID,STATEID,zip_code,area_code,lat,lng,ALand,AWater,pop,male_pop,female_pop,rent_mean,rent_median,rent_stdev,rent_sample_weight,rent_samples,rent_gt_10,rent_gt_15,rent_gt_20,rent_gt_25,rent_gt_30,rent_gt_35,rent_gt_40,rent_gt_50,universe_samples,used_samples,hi_mean,hi_median,hi_stdev,hi_sample_weight,hi_samples,family_mean,family_median,family_stdev,family_sample_weight,family_samples,hc_mortgage_mean,hc_mortgage_median,hc_mortgage_stdev,hc_mortgage_sample_weight,hc_mortgage_samples,hc_mean,hc_median,hc_stdev,hc_samples,hc_sample_weight,home_equity_second_mortgage,second_mortgage,home_equity,debt,second_mortgage_cdf,home_equity_cdf,debt_cdf,hs_degree,hs_degree_male,hs_degree_female,male_age_mean,male_age_median,male_age_stdev,male_age_sample_weight,male_age_samples,female_age_mean,female_age_median,female_age_stdev,female_age_sample_weight,female_age_samples,pct_own,married,married_snp,separated,divorced,Bad Debt,population_denisty,median_age
UID,1.0,0.2614338814941134,0.9772751304489276,-0.22339064602590933,0.019547756126045826,0.17908478121244714,0.28801089704373456,-0.015706772472057796,-0.028262508418152414,-0.02281900673777075,-0.023452804299128008,-0.021487798058385,-0.18348522525609068,-0.17852393268764657,-0.13953521723144693,0.05454069087173526,-0.04395860797695466,-0.056490959653091616,-0.0956612363435054,-0.10682049630686763,-0.10883786780273322,-0.10800842731785278,-0.10122952781975517,-0.09539976780873288,-0.08115075486264264,-0.037599852178331235,-0.043733694659713426,-0.04896669498866183,-0.04043324139166898,-0.06762104014367494,0.025025615671089678,0.01035027496524821,-0.03520360507447187,-0.027904147473160588,-0.06058509253903402,0.01119383494624003,0.00807639009696385,-0.13945034153157418,-0.13684510269878622,-0.14210924755472995,0.05333171652379554,-0.001799788883714079,0.024294247677630665,0.031217624597707227,-0.030544428395233598,0.10218728581595037,0.08962301831102035,-0.09208637583010158,-0.10465180856653482,-0.12599638441435995,-0.13581507536172158,0.10379214157701207,0.13322376202469413,0.13933902882874402,0.04685371276542449,0.03824581362176367,0.05381086525939093,-0.029494585876663683,-0.020274031864312213,0.04661293330559992,-0.022881136538671073,-0.023426285299265496,-0.02533558447659398,-0.016578427390590615,0.05718308645852138,-0.020639014726135434,-0.021444289709859985,0.07516418066682498,0.04416028343082765,-0.03972344425230822,0.017064976627510685,0.010550212609018778,-0.13180762488973052,-0.018228915166449918,-0.018827064045619832
COUNTYID,0.2614338814941134,1.0,0.2234819236615765,0.0343307406110715,0.06428409501796413,-0.15091956323021732,0.0708699894933424,0.012058102456386242,0.012602671937740732,0.0019681022018126493,0.0027158314103574617,0.0011763128792048514,-0.09369291534579315,-0.09163225109762227,-0.08853399755740927,0.04335884429728035,-0.007873404129179066,-0.015433139607261604,-0.026110845444558235,-0.025268002156242874,-0.023161040087580624,-0.019330578951300845,-0.018351642512825,-0.017652791010015705,-0.019169356756073664,-0.005523041980667337,-0.008991884088328636,-0.07161072931036672,-0.06942768379259442,-0.07277349421038215,0.029519720537339034,-0.0019824927763037632,-0.06983858359533864,-0.06763094737610822,-0.061666369237931284,0.03568456829454861,0.002335373279308113,-0.135945916926314,-0.13378899710560155,-0.12181322790192704,0.039793913935221706,-0.018615212812709583,-0.0866414232194756,-0.08639415948804358,-0.05226077468438504,0.037744281386664795,0.0513880630176,-0.03420601143034448,-0.04338795234984115,-0.12706353966417844,-0.08580591965297403,0.05836345751770291,0.14492173029744965,0.08092241103897735,-0.057947681954500486,-0.0561414801023798,-0.05560828070710164,-0.06521055018058453,-0.06522327039471543,-0.0092748631871816,0.004931046488716073,0.002713592412194448,-0.05741354043122722,-0.055419199586773056,-0.000823690783657215,0.004168186751967119,0.001133463980703814,-0.002484519094049482,-0.017142188287533132,0.03738729436253375,0.06374517797141303,0.04812223742640572,-0.12879045200255393,-0.08091372960134918,-0.06255163665086627
STATEID,0.9772751304489276,0.2234819236615765,1.0,-0.2615150935720587,0.03987884011479658,0.10794217241080897,0.3186069476229467,-0.015325209133360823,-0.02620737683003546,-0.0294780372129825,-0.031264260612449336,-0.026813345727969267,-0.21010082841458594,-0.20419389573491603,-0.1555284043420248,0.05393766058240029,-0.05334342490633733,-0.05230323430012832,-0.08911576592972527,-0.09805958844314071,-0.09888475371682685,-0.09661744768186119,-0.09054448436182698,-0.08450322663201831,-0.0691502178546139,-0.04107825794986745,-0.05415168276339599,-0.07971446459186537,-0.06951371865246302,-0.09782957961861759,0.03410326834566681,0.0028169723656879635,-0.0664450323695849,-0.05624074632890483,-0.09218945471881344,0.024889293178761637,0.0018733474301181549,-0.1597471781882004,-0.1562405778115767,-0.1584652616441553,0.052082371606208794,-0.016964912738629857,-0.010604558604321706,-0.0020254774980061944,-0.05645702953166344,0.11440240034136834,0.11255358502975567,-0.10377189934303874,-0.11649785866729997,-0.1465749472105567,-0.1645497670325447,0.1220483127367962,0.15995827684525285,0.16068986393266216,0.018877775977854408,0.009378047819420879,0.02823347595988251,-0.024095133805550468,-0.018460363490265294,0.05474963010795284,-0.029406858619294027,-0.031242517556931658,-0.01584967239123628,-0.009549525822223027,0.06193507996533719,-0.02516033469706577,-0.02677232481714538,0.07311070220221716,0.028201054897178963,-0.033443202654554624,0.029414003141758186,0.01735719371957812,-0.15231166726990977,-0.015442100454526044,-0.014101224664952415
zip_code,-0.22339064602590933,0.0343307406110715,-0.2615150935720587,1.0,-0.007139947011434026,-0.061266685435880486,-0.9282334495620885,0.0728114912506965,0.03142387743941698,0.07440522340530896,0.09192883501185262,0.05496644077590176,0.07396809399141266,0.06662857309608537,0.036177186569794365,0.03071952272065728,0.06588563201825842,-0.0032834611346730094,0.0017871050088107635,-0.008561646549775056,-0.016364303233007447,-0.016132218171947505,-0.02039960188960614,-0.027890553448450404,-0.03897047501150798,0.05996091564001699,0.06852269047387784,0.005912739087474631,0.005344060335403837,-0.003505844997931975,0.01148330825968955,0.016786971358290926,-0.019258439386540153,-0.023521898516215316,-0.005718665209279778,0.05060447893795301,0.03835483641115262,-0.01804397733376428,-0.015442426670546067,-0.0164568655847045,-0.01606832434135373,0.004065587298967398,-0.21609817559428346,-0.21981170723269455,-0.09350954696621977,-0.06726334350125429,-0.023806996770455745,0.07998413841218195,0.07629372927737267,-0.06705988194121976,0.06727262631086792,-0.06620710692564402,0.07690470907073668,-0.07693616642800324,-0.07615106809356237,-0.05827375525711638,-0.08917283008233196,-0.10898521940813692,-0.10973070358921316,-0.06211162429929997,0.08759064671418203,0.09186812497867534,-0.14591277814868137,-0.1418035004451067,-0.062095976471667494,0.0530313894189954,0.05490918073329995,-0.07158425441178892,0.025695148879990134,0.016667802125927444,-0.05481974028739488,0.04562887277909614,-0.06323899668564373,-0.11573440599869242,-0.1331881472332918
area_code,0.019547756126045826,0.06428409501796413,0.03987884011479658,-0.007139947011434026,1.0,-0.1232507744796507,-0.011549529936642346,0.01540769886379601,0.021893922297404875,0.03203818692172314,0.03396901078642609,0.029152356035549085,0.04427989567023215,0.04454654372941172,0.0071325160349827044,-0.04833042646789412,-0.0274402498717434,0.030421452692379558,0.03151131015321398,0.025583170694367496,0.018036727617499602,0.020143058203695028,0.011566290948802883,0.009458602104884417,-0.0008789148307404268,-0.02607674396678294,-0.026713185748005262,0.018714022888642656,0.021697579336585934,0.005669024317245578,-0.011187178458007752,-0.0028953548509035487,0.003769721857804409,0.002823692132704754,4.358401229009275e-05,0.03194639952515724,0.03481140490555358,0.04719334393970517,0.04522060008378575,0.04309627530244766,-0.018716818693649568,0.018116976991022028,0.0348437176287759,0.03407850671650243,0.028339781005848406,0.005504163851678881,-0.0003134412835420963,0.001271217473724885,6.2924612853016525e-06,0.0017577205871135355,0.014778186701192894,0.0032504402807208717,0.005668133613402299,-0.023171121942152775,-0.028515803823723276,-0.023869060620373746,-0.030770039495485256,-0.02176476067652789,-0.012856010442759488,-0.004460554006064554,0.034743988624589564,0.03399734355960659,-0.01989469557250856,-0.009957534647754748,-0.0117558227090284,0.026647216021532118,0.02911368816200318,0.019475908641381493,0.060122010773942774,0.028474007842967313,0.020215497054068488,-0.04342100221781049,0.001168166469925987,-0.0250458506904887,-0.01231157435102676
lat,0.17908478121244714,-0.15091956323021732,0.10794217241080897,-0.061266685435880486,-0.1232507744796507,1.0,0.013031853290982907,0.09732553017890284,0.0697209548574695,-0.08835670161244319,-0.0824419495909336,-0.09137673718210385,0.002858673314442614,0.00021383129558441978,0.05910952432770564,-0.0012993114481038778,-0.015145997659295463,-0.057576530330901064,-0.0823292583132583,-0.10701430216967422,-0.1092005719443263,-0.11936729971225979,-0.11621375848980663,-0.10691284319752897,-0.08608742984468327,-0.035253625668054615,-0.010306506187711948,0.13607503656675954,0.14084514507510448,0.11465198407136654,-0.1090674190225568,-0.025497926738744587,0.15929800742681546,0.15840566922513927,0.11950855482975511,-0.17895585291108612,-0.05769631468633873,0.10486733993547952,0.10497006453658454,0.06784234766605146,-0.014427555018803178,0.05672456952149189,0.22327471754360917,0.2218600702212157,0.08989820193243497,-0.11703163958861504,-0.18304690754404304,0.0701903199834073,0.07473418165177184,0.21914832616763277,0.18909359950226384,-0.13200273851780933,-0.2604117654676613,-0.16103249708578612,0.24624369102351762,0.2353620501683303,0.24218846868769592,-0.003076435906548993,0.019474730252950392,0.013212437928833082,-0.07755657684075742,-0.08241761063197221,-0.012730051042701038,0.0011485736241953087,0.03846903144857697,-0.08548221668804608,-0.09135514597683272,0.060655447747936,0.04298329145590607,-0.1661718097543893,-0.14460309408394403,-0.062844146214514,0.21735207486517846,0.05094211133503726,0.010932935565062835
lng,0.28801089704373456,0.0708699894933424,0.3186069476229467,-0.9282334495620885,-0.011549529936642346,0.013031853290982907,1.0,-0.10416206053460723,-0.06403900145495924,-0.08270942883557336,-0.09987294425952593,-0.06336322824442459,-0.16654068253243604,-0.15679676936159148,-0.12356778744461593,0.0004210762602520596,-0.08787178235762856,-0.010610876352326212,-0.027862749317128847,-0.02299376572443764,-0.0131530580289879,-0.009580907037141173,-0.0017995416110361574,0.009141834560118023,0.02436724760895914,-0.08155292206879174,-0.09128955903488033,-0.05986873188544251,-0.05727421524433959,-0.05167327984713935,0.011964723924022784,-0.01849976536145643,-0.03091845760047831,-0.024612391489877886,-0.04342944821193833,-0.02712754904424148,-0.03860378038812467,-0.09414416421070251,-0.0949213387922328,-0.08347660135661053,0.06602789651943196,-0.006471585444102763,0.1546825559227452,0.16127168803420458,0.04059399659321053,0.10528792111434256,0.0721057450093281,-0.09926798845505191,-0.10311238983077603,-0.007612059831297121,-0.12303987913445592,0.09267229933134571,0.002320280290048797,0.1337633735102808,0.05603327663228315,0.03559362667275396,0.07306237126755315,0.08603846167150798,0.08812426487333087,0.07160342825311697,-0.09599890947612139,-0.09982493996310442,0.12354233572284457,0.12256949598859214,0.07240844387175156,-0.061477118610775025,-0.06333119449081326,0.09459086896733564,-0.026064660664933605,-0.03529524831786286,0.05532462439068984,-0.006038231971427878,-0.013407868730542373,0.06375098051256253,0.11187281293735239
ALand,-0.015706772472057796,0.012058102456386242,-0.015325209133360823,0.0728114912506965,0.01540769886379601,0.09732553017890284,-0.10416206053460723,1.0,0.4556089978046385,-0.03442354642708853,-0.023170263598051542,-0.04434129384010753,-0.0724205358478721,-0.07059391003432668,-0.036259188336459386,-0.0476362249715576,-0.0714363375890676,-0.10879683632467992,-0.10454338819315284,-0.0917025112328805,-0.0805665696767549,-0.06656621422238877,-0.059990818505190564,-0.054836085777898634,-0.053933578759579,-0.0627374004674554,-0.0710978419532715,-0.03145272065738551,-0.0325813115092825,-0.02100879621625924,-0.026294990793229552,-0.04157687262100482,-0.030817960296246213,-0.032217035038274174,-0.02001364179250908,-0.00966972726029476,-0.026912693175837017,-0.060093986483999925,-0.06196840238687744,-0.01688817068868362,-0.007580678129573507,-0.03785132563361037,-0.059849673307136246,-0.061304383015642845,-0.008262057323143288,0.06101919835828894,0.07776214349904086,-0.04401607894856633,-0.046286493509917405,-0.08364059966004127,-0.1268299374735604,0.04826417042146308,0.09196398244610032,0.11282833563783015,-0.0032848701617664475,-0.00713767552539116,0.0026457106562229786,0.04881299093622589,0.0560598507514416,0.038699706801094906,-0.023077575524564818,-0.023176890474419627,0.020960055479494578,0.03431522403062576,0.028954470839401787,-0.04323675686425597,-0.04434923288257396,0.054986058124870625,0.03182049495708515,0.01124582780833095,-0.0057127247895224186,0.025198920106382687,-0.08394159338247915,-0.04849692228442067,0.04640735783348729
AWater,-0.028262508418152414,0.012602671937740732,-0.02620737683003546,0.03142387743941698,0.021893922297404875,0.0697209548574695,-0.06403900145495924,0.4556089978046385,1.0,-0.013043794720459152,-0.00946717774373528,-0.01613031057376195,-0.011869523848532805,-0.011436068603887779,0.001312194279137449,-0.01730102539665572,-0.02113112001454206,-0.04013422548602487,-0.03378035767009642,-0.033923051128842564,-0.02870033166906186,-0.023844379006517962,-0.022062770053415275,-0.020041514601143152,-0.01880175706872637,-0.01874076869683073,-0.020934226067877617,-0.0037345745726737986,-0.004243294087062472,0.0004514577871700313,-0.01614328756262149,-0.01832506118600428,-0.0037909772415053965,-0.004604713928621381,0.001606333273627513,-0.011005669920491049,-0.01400072621561745,-0.0120007334240147,-0.012367474210286916,0.00176269567430102,-0.014144405899935361,-0.017636206252298024,-0.01116104432936594,-0.011685783088405968,0.004407719360649819,0.012423934056030605,0.014543454204790173,-0.015660643548279486,-0.015653022988691756,-0.025949492041814022,-0.04537239630796712,0.018477024553395668,0.028815927522736224,0.03622584913446689,0.005075235778539762,0.0049455830706424675,0.004719747578288052,0.007137109339306845,0.010383957344591662,-0.0023427622103158133,-0.008769004816762183,-0.009469182614098093,-0.006528360907035926,-0.002574233854636799,-0.007221069274657218,-0.015909829371933432,-0.01613275729752879,0.011447609856854387,-0.0005075279804710541,0.026798629365415546,0.006287217296812525,0.006010702423088716,-0.025797389266419796,-0.013515557753841842,0.004723105211165397
pop,-0.02281900673777075,0.0019681022018126493,-0.0294780372129825,0.07440522340530896,0.03203818692172314,-0.08835670161244319,-0.08270942883557336,-0.03442354642708853,-0.013043794720459152,1.0,0.9838347207383655,0.9845824167537431,0.16517922103990912,0.15895529992247381,0.1170971380815095,0.24975137209525852,0.403641722452527,0.06305506708171124,0.058340801228107204,0.01823337659913628,-0.005790460256290264,-0.015492229078182299,-0.025023634873522622,-0.034068097177735124,-0.04659874902911364,0.41835485655198834,0.4082058950086181,0.1749410900272401,0.18096491185104122,0.12914901221105177,0.711783224453742,0.9034147912241853,0.13617015827164142,0.1312112710654662,0.11160115557360785,0.7859924110834486,0.9362158452486344,0.11373522724167456,0.10850691483533778,0.08690354751577448,0.6513274318091354,0.7803925245009837,0.05863099117502854,0.05659746791281742,0.05818664826812281,0.4681463141189761,0.39501886761019234,0.08639022697680014,0.08502765678783031,0.10708031617035986,0.25317959972307646,-0.15346217539237453,-0.13285089403833317,-0.2555362302472262,0.04931042722941266,0.05701279834502886,0.04034048311215805,-0.1987187115731217,-0.16032746607258064,-0.05664099826725702,0.9354684526680263,0.9837836912856885,-0.20297907157610795,-0.16682333534467092,-0.06050162690619433,0.9314887391124003,0.9845308791209383,0.09107203930398218,0.17058971374970763,-0.03234477211938914,-0.08243512385784563,-0.16859491232210383,0.10676470456409476,0.017101848396857095,-0.17156950953807515
